time,src_ip,dest_ip,duration,bytes_in,bytes_out,packets,protocol,result,probability,attack_type
2025-08-18 07:22:12.821726,34.139.124.58,192.168.169.129,0,89,0,1,TCP,1,0.54,Unknown Attack
2025-08-18 07:22:12.928675,192.168.169.129,34.139.124.58,0,54,0,1,TCP,0,0.48,
2025-08-18 07:22:12.974654,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:13.159925,34.139.124.58,192.168.169.129,0,518,0,1,TCP,0,0.5,
2025-08-18 07:22:13.261394,192.168.169.129,34.139.124.58,0,54,0,1,TCP,0,0.48,
2025-08-18 07:22:13.853973,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:17.959462,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:18.841419,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:19.830316,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:20.196768,N/A,N/A,0,104,0,1,UDP,0,0.5,
2025-08-18 07:22:20.261803,N/A,N/A,0,104,0,1,UDP,0,0.5,
2025-08-18 07:22:20.348978,N/A,N/A,0,104,0,1,UDP,0,0.5,
2025-08-18 07:22:20.393613,N/A,N/A,0,104,0,1,UDP,0,0.5,
2025-08-18 07:22:20.444625,N/A,N/A,0,104,0,1,UDP,0,0.5,
2025-08-18 07:22:20.506606,N/A,N/A,0,104,0,1,UDP,0,0.5,
2025-08-18 07:22:20.570645,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.640797,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.697711,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.743662,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.822345,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.890054,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.934766,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:20.994129,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.032417,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.073931,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.174211,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.236719,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.306510,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.380440,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.460506,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.604485,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.690683,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.780798,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.871727,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:21.956818,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.063894,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.182125,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.244468,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.316570,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.436302,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.595883,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.673582,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.747069,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.835502,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:22.934997,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.001646,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.062841,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.123543,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.261688,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.333379,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.403399,N/A,N/A,0,467,0,1,UDP,0,0.44,
2025-08-18 07:22:23.487112,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:23.557869,N/A,N/A,0,60,0,1,OTHER,0,0.48,
2025-08-18 07:22:23.621076,N/A,N/A,0,60,0,1,OTHER,0,0.48,
